Address,Town/City,Business Type,Color,Municipality,Security,Town Population,Municipality Population
"Ivory Park 2, Mogola St, Midrand, Johannesburg, 1665, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"6 Kreupelhout Ave, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Annet Road &amp;, Enoch Sontonga Ave, Johannesburg, 2000, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"179 Humming-Bird Ave, Lenasia, 1821, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"538 Louis Botha Ave, Highlands North, Johannesburg, 2192, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"106 Turffontein Rd, Stafford, Johannesburg, 2137, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Reynolds St, Springfield, Johannesburg, 2023, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"24 Ness Ave, Bryanston, Sandton, 2191, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1724, 824 Vermooten Rd, Princess, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1126 Cornelius St, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
32 Corlett Dr,Midrand,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
32 Corlett Dr,Midrand,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Fernhead Park, 25 Blandford Rd, Parkwood, Johannesburg, 2193, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"2094, 288 7th Ave, Bezuidenhout Valley, Johannesburg, 2094, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Far East Bank St, Far East Bank, Alexandra, 2014, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"142 Hay St, Turffontein, Johannesburg South, 2140, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Republic Rd, Darrenwood, Johannesburg, 2195, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"2531 Potchefstroom, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Brabazon Ave, Mondeor, Johannesburg South, 2110, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"59 6th Ave, Florida, Roodepoort, 1710, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"268 Makakola St; 1868 Soweto, Gauteng",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Ivory Park 2, Mogola St, Midrand, Johannesburg, 1665, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Dora St, Doornfontein, Johannesburg, 2094, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"539 Reverend R.T.J. Namane Dr, Teanong, Tembisa, 1632, South Africa",Midrand,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"12th Ave, Alexandra, 2014, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Athol Road &amp;, Johannesburg Rd, Highlands North, Johannesburg, 2037, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"538 Louis Botha Ave, Highlands North, Johannesburg, 2192, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Glenesk, Johannesburg, 2190, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Reynolds St, Springfield, Johannesburg, 2023, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"4684-4685 13th Ave, Alexandra, 2014, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Eric St, Westbury, Johannesburg, 2093, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Bolani Link, Jabulani, Johannesburg, 1808, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"142 Hay St, Turffontein, Johannesburg South, 2140, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"2 4th Ave, Mayfair, Johannesburg, 2108, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Club St, Linksfield, Johannesburg, 2192, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Republic Rd, Darrenwood, Johannesburg, 2195, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Jan Hofmeyer, Johannesburg, 2092, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Marks Park Sports Club, Judith Road, Emmarentia, Johannesburg, South Africa, 2195, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"George Goch, Johannesburg, 2094, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Corso Gaetano Scirea, 50, Torino Torino, New Doornfontein, Johannesburg, 10151, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Handicap Road; Roodepoort, Gauteng",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Lenasia,Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"4 Bhala Ave, Sebenza, Edenvale, 1609, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"17th Ave, J P Bezuidenhout Park, Edenvale, 1609, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Orange Farm, 1805, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1373 Olympus Rd, Ennerdale, 1830, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Albertina Sisulu Rd, Paarderand, Johannesburg, 1709, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Athol Road &amp;, Johannesburg Rd, Highlands North, Johannesburg, 2037, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"6 Kreupelhout Ave, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Annet Road &amp;, Enoch Sontonga Ave, Johannesburg, 2000, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Brian St, Esiqongweni, Tembisa, 1632, South Africa",Midrand,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"538 Louis Botha Ave, Highlands North, Johannesburg, 2192, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Glenesk, Johannesburg, 2190, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Cottesloe, Johannesburg, 2092, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
President Boshoff Rd,Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Edenvale High School,Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"51 Matsemela St, Thokoza, Johannesburg, 1426, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Groenfontein Rd &amp; Viljoen St, Military Base, Heidelberg - GP, 1441, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Sali, Katlehong, 1434, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1st Ave, Edenvale, 1609, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Orange Farm, 1805, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Plot 1, Tenacres AH, Randfontein, 1759, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Korea Rd &amp; Ayr Rd, Melville, Johannesburg, 2006, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Ruimsig Stadium, Fairway St, Ruimsig, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Meadowlands Hostel, Zone 11, Soweto, 1852, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Eric St, Westbury, Johannesburg, 2093, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Chris Hani Rd, Klipspruit, Soweto, 1808, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"2 4th Ave, Mayfair, Johannesburg, 2108, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1373 Olympus Rd, Ennerdale, 1830, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Albertina Sisulu Rd, Paarderand, Johannesburg, 1709, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1724, 824 Vermooten Rd, Princess, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Orlando, Soweto, 1804, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Bolani Link, Jabulani, Johannesburg, 1808, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"11280 Tshakuma St, Meadowlands East Zone 4, Meadowlands East, 1852, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"159, Mzilikatse St, Soweto, 1800, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Doornkop, Soweto, 1723, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"3388 Thobejane St, Mapetla, Soweto, 1818, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"349 Socrates Ave, Davidsonville, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"University of the Witwatersrand, Johannesburg, 2000, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Stirling St, Syferfontein 51-Ir, Johannesburg, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Robert Broom Dr, Noordheuwel, Johannesburg, 1756, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"43 Sloane St, Bryanston, Johannesburg, 0181, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Westview Dr, Bryanston, Johannesburg, 2191, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Ivory Park 2, Mogola St, Midrand, Johannesburg, 1665, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"crn Swartkoppies and Kliprivier Roads, Liefde en Vrede, Johannesburg, 2000, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"2094, 288 7th Ave, Bezuidenhout Valley, Johannesburg, 2094, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Nasrec Rd; 2091 Johannesburg,Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Mohlakeng, Randfontein, 1759, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Orlando, Soweto, 1804, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Bolani Link, Jabulani, Johannesburg, 1808, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Republic Rd, Darrenwood, Johannesburg, 2195, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"11280 Tshakuma St, Meadowlands East Zone 4, Meadowlands East, 1852, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"159, Mzilikatse St, Soweto, 1800, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Palm Ridge, Katlehong, 1488, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"6 Kreupelhout Ave, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1724, 824 Vermooten Rd, Princess, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Ruimsig Stadium, Fairway St, Ruimsig, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"349 Socrates Ave, Davidsonville, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1106-1112 Cornelius St, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"59 6th Ave, Florida, Roodepoort, 1710, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"610 Ontdekkers Rd, Florida, Roodepoort, 1710, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1126 Cornelius St, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Handicap Road; Roodepoort, Gauteng",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"29 Bertrams Rd, New Doornfontein, Johannesburg, 2094, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Cuming Rd, Eldorado Park, Johannesburg, 1811, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Dora St, Doornfontein, Johannesburg, 2094, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Hummingbird Ave, Lenasia, Johannesburg, 1827, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Westdene, Johannesburg, 2092, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Albertina Sisulu Rd, Paarderand, Johannesburg, 1709, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Johannesburg South, Liefde En Vrede, Johannesburg, 2059, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Athol Road &amp;, Johannesburg Rd, Highlands North, Johannesburg, 2037, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Annet Road &amp;, Enoch Sontonga Ave, Johannesburg, 2000, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"538 Louis Botha Ave, Highlands North, Johannesburg, 2192, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Corlett Dr, Illovo, Sandton, 2196, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Star St, Makulong, Tembisa, 1632, South Africa",Midrand,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"17th Ave, J P Bezuidenhout Park, Edenvale, 1609, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"539 Reverend R.T.J. Namane Dr, Teanong, Tembisa, 1632, South Africa",Midrand,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"12th Ave, Alexandra, 2014, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"4684-4685 13th Ave, Alexandra, 2014, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Far East Bank St, Far East Bank, Alexandra, 2014, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"369 Rivonia Boulevard, 11th Avenue, 1st Floor Rivonia, Rivonia, Johannesburg, Gauteng, 2128",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"FNB Stadium, Soccer City Ave, Nasrec, Johannesburg South, 2147, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"FNB Stadium, Soccer City Ave, Nasrec, Johannesburg South, 2147, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Soccer City Ave, Nasrec, Johannesburg, 2147, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Martha Louw St &amp;, Mooki St, Soweto, 1804, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Thabo Mbeki Way, Bult, Potchefstroom, 2531, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Gumede St, Rockvill, Johannesburg, 1860, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Orange Farm, 1805, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Plot 1, Tenacres AH, Randfontein, 1759, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Meadowlands Hostel, Zone 11, Soweto, 1852, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Chris Hani Rd, Klipspruit, Soweto, 1808, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1373 Olympus Rd, Ennerdale, 1830, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"138 Axle Rd, Devland, Soweto, 1813, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Buckingham Ave &amp; Jan Beam Ave, Eldorado Park, Soweto, 1811, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Meadowlands West Zone 10, Meadowlands West, 1852, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Lenasia, 1821, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Johannesburg, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Johannesburg,Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
16 Turffontein Rd,Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Botasdal Farm,Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Club St, Linksfield, Johannesburg, 2192, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Johannesburg,Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Roodeport, Johannesburg, 1850, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Rand Show Rd, Aeroton, Johannesburg South, 2013, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Robert Broom Dr, Noordheuwel, Johannesburg, 1756, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"610 Ontdekkers Rd, Florida, Roodepoort, 1710, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1126 Cornelius St, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Protea Glen, Soweto, 1818, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Nuse St; 1818 Soweto, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Lenasia,Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
Cnr Main St. &amp; Montlantla St; 1863 Johannesburg,Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Robert Broom Dr, Noordheuwel, Johannesburg, 1756, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Jan Hofmeyer, Johannesburg, 2092, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Marks Park Sports Club, Judith Road, Emmarentia, Johannesburg, South Africa, 2195, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Doornkop, Soweto, 1723, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"3388 Thobejane St, Mapetla, Soweto, 1818, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"349 Socrates Ave, Davidsonville, Roodepoort, 1724, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"1106-1112 Cornelius St, Weltevredenpark, Roodepoort, 1709, South Africa",Roodepoort,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Protea Glen, Soweto, 1818, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Nuse St; 1818 Soweto, South Africa",Soweto,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"76 Jamestown Ave, Crosby, Johannesburg, 2092, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"Solomon St, Johannesburg, 2000, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"369 Rivonia Boulevard, 11th Avenue, 1st Floor Rivonia, Rivonia, Johannesburg, Gauteng, 2128",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
"FNB Stadium, Soccer City Ave, Nasrec, Johannesburg South, 2147, South Africa",Johannesburg,Stadiums,Black,City of Johannesburg Metropolitan Municipality,N/A,"910,550.00","5,600,000.00"
